time,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop
1789951759.0,47.62047166666666,-122.33885000000001,13.8,549679.3576570288,5274330.365695116,10,T,0.99
1789951760.0,47.620476666666676,-122.33883499999999,12.4,549680.48002792,5274330.930992101,10,T,0.99
1789951761.0,47.62047833333333,-122.33882999999999,11.8,549680.8541515036,5274331.119424477,10,T,0.99
1789951762.0,47.62046166666667,-122.33881666666666,10.0,549681.8718155331,5274329.275668563,10,T,0.99
1789951763.0,47.620476666666676,-122.338825,8.5,549681.231433114,5274330.937397555,10,T,0.99
1789951764.0,47.62048166666667,-122.33883666666667,10.7,549680.3500567216,5274331.485613517,10,T,0.99
1789951765.0,47.620486666666665,-122.33884666666667,13.1,549679.5939146724,5274332.034897158,10,T,0.99
1789951766.0,47.620475000000006,-122.33886,15.8,549678.6030938758,5274330.729749227,10,T,0.99
1789951767.0,47.62045166666667,-122.33887166666666,19.5,549677.7485592677,5274328.129061354,10,T,0.99
1789951768.0,47.620435,-122.33889666666667,28.3,549675.8858339344,5274326.260752427,10,T,0.99
1789951769.0,47.620423333333335,-122.33890000000001,31.4,549675.646417264,5274324.962009881,10,T,0.99
1789951770.0,47.62040999999999,-122.33889833333333,32.7,549675.7842823935,5274323.481240071,10,T,0.99
1789951771.0,47.62040166666667,-122.33889166666668,33.8,549676.2931141569,5274322.559361663,10,T,0.99
1789951772.0,47.62039,-122.33888999999999,35.9,549676.4294006273,5274321.26382153,10,T,0.99
1789951773.0,47.620374999999996,-122.33889833333333,40.8,549675.8174382403,5274319.5914172465,10,T,0.99
1789951774.0,47.62036499999999,-122.33889666666667,41.1,549675.9521458031,5274318.481106767,10,T,0.99
1789951775.0,47.620345,-122.33891666666665,45.3,549674.4682778737,5274316.245541452,10,T,0.99
1789951776.0,47.62033666666666,-122.33893833333335,46.1,549672.8481229554,5274315.305516724,10,T,0.99
1789951777.0,47.62032666666667,-122.33897833333334,48.8,549669.8519660868,5274314.168521928,10,T,0.99
1789951778.0,47.62031833333334,-122.33898833333333,50.3,549669.1084519066,5274313.235969674,10,T,0.99
1789951779.0,47.62029833333333,-122.33900999999999,53.2,549667.4993453692,5274310.999338859,10,T,0.99
1789951780.0,47.620295000000006,-122.33902333333332,54.5,549666.5006254633,5274310.620341348,10,T,0.99
1789951781.0,47.620290000000004,-122.339035,55.2,549665.6287185913,5274310.057181599,10,T,0.99
1789951782.0,47.620283333333326,-122.33904499999998,56.2,549664.8836247068,5274309.3098595515,10,T,0.99
1789951783.0,47.62027500000001,-122.33904166666667,56.9,549665.1419865511,5274308.385845741,10,T,0.99
1789951784.0,47.62026833333333,-122.33904166666667,57.6,549665.1483005689,5274307.64492712,10,T,0.99
1789951785.0,47.62025833333334,-122.33904166666667,58.4,549665.1577715942,5274306.533549194,10,T,0.99
1789951786.0,47.620243333333335,-122.33904666666668,59.3,549664.7962738591,5274304.863280612,10,T,0.99
1789951787.0,47.62023166666666,-122.33904333333334,60.2,549665.0577928704,5274303.568807494,10,T,0.99
1789951788.0,47.620218333333334,-122.33904166666667,60.7,549665.1956556805,5274302.088037499,10,T,0.99
1789951789.0,47.62021,-122.33905166666666,61.4,549664.4521391769,5274301.155485872,10,T,0.99
1789951790.0,47.62020333333333,-122.33905833333334,61.8,549663.9575136818,5274300.410298407,10,T,0.99
1789951791.0,47.620194999999995,-122.33906999999999,62.2,549663.0887618905,5274299.4766797535,10,T,0.99
1789951792.0,47.62018833333333,-122.339075,62.5,549662.7193709629,5274298.732559589,10,T,0.99
1789951793.0,47.62017833333333,-122.33908000000001,62.8,549662.3531367602,5274297.617980144,10,T,0.99
1789951794.0,47.62017000000001,-122.33908666666666,63.1,549661.8600890867,5274296.687563214,10,T,0.99
1789951795.0,47.62016333333333,-122.33909,63.3,549661.6159327654,5274295.944510287,10,T,0.99
1789951796.0,47.620160000000006,-122.33909333333334,63.8,549661.3686196252,5274295.571916676,10,T,0.99
1789951797.0,47.62014333333333,-122.33909666666665,64.1,549661.1339334168,5274293.717485865,10,T,0.99
1789951798.0,47.62013,-122.33909166666666,64.5,549661.5222654549,5274292.238850109,10,T,0.99
1789951799.0,47.62012166666667,-122.33908833333335,64.8,549661.7806274551,5274291.314836171,10,T,0.99
1789951800.0,47.62011833333333,-122.33908166666667,65.2,549662.2847244564,5274290.94864553,10,T,0.99
1789951801.0,47.62011333333333,-122.33907666666667,65.5,549662.6651648752,5274290.396158105,10,T,0.99
1789951802.0,47.6201,-122.33906166666665,66.1,549663.804908103,5274288.923925624,10,T,0.99
1789951803.0,47.62008333333333,-122.33905833333334,66.4,549664.0711629005,5274287.073763544,10,T,0.99
1789951804.0,47.620071666666675,-122.33905333333333,66.7,549664.4579176208,5274285.78035764,10,T,0.99
1789951805.0,47.62005333333333,-122.339035,67.3,549665.8528681217,5274283.754571053,10,T,0.99
1789951806.0,47.62003,-122.33901499999999,67.9,549667.3777905221,5274281.174163136,10,T,0.99
1789951807.0,47.62000333333334,-122.33897666666665,69.5,549670.2834601003,5274278.235036911,10,T,0.99
